method,seed,latent_dim,beta,n_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,n_samples_silhouette
vae_gmm,42,8,1.0,6,0.11495506018400192,1266.458367487148,1.75313952888079,0.12257419201435735,0.22845801275197652,0.6322367763223677,3000
vae_kmeans,42,8,1.0,7,0.20859627425670624,1994.5743572744786,1.279264409993489,0.0595267373235809,0.14012778119799402,0.5961403859614038,3000
vae_gmm,42,8,1.0,7,0.10107146948575974,1260.0687586227311,1.6491683932291505,0.10785434187357866,0.21922968579178986,0.6313368663133687,3000
vae_kmeans,42,8,1.0,8,0.21443508565425873,1957.7334244666536,1.2335178919639,0.05256879569486155,0.13370475036301924,0.5937406259374063,3000
vae_gmm,42,8,1.0,8,0.1070544645190239,1356.2541024274228,1.5007679779185636,0.0816854271071293,0.20745535292533918,0.6267373262673732,3000
vae_kmeans,42,8,1.0,9,0.2056262195110321,1902.6554392110281,1.2625601324174138,0.04066788415763749,0.12981647315398653,0.5921407859214078,3000
vae_gmm,42,8,1.0,9,0.07560177892446518,1117.1393672501597,1.714341049205669,0.06521000576627915,0.19851682961205186,0.6215378462153784,3000
vae_kmeans,42,8,1.0,10,0.2014152556657791,1821.5051414796103,1.295591547019348,0.0431046137840838,0.12951450127582573,0.5975402459754025,3000
vae_gmm,42,8,1.0,10,0.09089192748069763,1236.205158021231,1.4918758934142513,0.06052609522543851,0.19576844091044354,0.6241375862413758,3000
vae_kmeans,42,8,1.0,11,0.19549790024757385,1754.8468821587924,1.3160165236404675,0.03680905061833871,0.12747609813783095,0.5952404759524048,3000
vae_gmm,42,8,1.0,11,0.08771277219057083,1165.8893460164745,1.5625321611945338,0.0526533731314291,0.19346255983275135,0.6241375862413758,3000
vae_kmeans,42,8,1.0,12,0.19005422294139862,1693.4800358230113,1.3461649628952657,0.034560673048421815,0.1257618055032327,0.595040495950405,3000
vae_gmm,42,8,1.0,12,0.0838116854429245,1128.0542633555522,1.5073783646924257,0.0514851687881171,0.1875199704748144,0.6248375162483751,3000
vae_kmeans,42,8,1.0,13,0.1875303089618683,1635.5529448129994,1.3540875268096249,0.03449056968315483,0.12375664284142544,0.6007399260073992,3000
vae_gmm,42,8,1.0,13,0.06408818811178207,1075.0756328120724,1.5515101057383451,0.04737916148864599,0.1828456437414621,0.6234376562343765,3000
vae_kmeans,42,8,1.0,14,0.18879634141921997,1585.5945983093786,1.3524824168305205,0.03270037663742454,0.12248559844687514,0.6004399560043996,3000
vae_gmm,42,8,1.0,14,0.08415067195892334,1077.7512591619222,1.5465226440146007,0.04432582986625182,0.18542801439090642,0.6287371262873712,3000
vae_kmeans,42,8,1.0,15,0.18968583643436432,1537.9464658103598,1.3344909892320858,0.028903243519071385,0.11959312702878687,0.6014398560143985,3000
vae_gmm,42,8,1.0,15,0.07016013562679291,1013.3190342270279,1.5281043242842298,0.04292879832528891,0.18063292823943244,0.6280371962803719,3000
pca_kmeans,42,8,,2,0.13996867835521698,1702.6134350690186,2.333278153821443,0.0009630183828802276,0.002743762994786675,0.531946805319468,3000
pca_gmm,42,8,,2,0.05298079922795296,355.4458995469423,5.142383422449928,0.010538950418218151,0.032343011211580126,0.531946805319468,3000
pca_kmeans,42,8,,3,0.11968164145946503,1410.8260058857686,2.2076147315968613,0.0006183881581028891,0.00121339959770143,0.531946805319468,3000
pca_gmm,42,8,,3,0.0524417944252491,636.2648114736238,3.5157212932359645,0.01575100039528742,0.05538986483649965,0.531946805319468,3000
pca_kmeans,42,8,,4,0.11723873019218445,1285.4207319950046,2.12947118731193,0.012094240726820651,0.016553878504282818,0.531946805319468,3000
pca_gmm,42,8,,4,0.06581305712461472,590.4561105581888,3.5559415655246682,0.054209124685630085,0.07082894922995953,0.531946805319468,3000
pca_kmeans,42,8,,5,0.11545401811599731,1172.8315754481425,2.040116359098385,0.02868355014017552,0.03124228058291504,0.5763423657634237,3000
pca_gmm,42,8,,5,0.01927049644291401,451.45351015353367,3.7655971266687702,0.04144173098272183,0.08142072664820087,0.5365463453654634,3000
pca_kmeans,42,8,,6,0.1073700487613678,1073.8451140322989,1.9817588048943702,0.025691940141586423,0.029931803078682217,0.573942605739426,3000
pca_gmm,42,8,,6,0.028274791315197945,481.0117948124741,3.277246814521973,0.03626889504085109,0.09715656632740508,0.5493450654934506,3000
pca_kmeans,42,8,,7,0.11015334725379944,1002.3751388511788,1.8833898095246087,0.02202005057531476,0.030042953115068438,0.5716428357164284,3000
pca_gmm,42,8,,7,0.026915106922388077,450.6985139206536,3.795926940757283,0.04316087503931813,0.10634347148517993,0.5385461453854614,3000
pca_kmeans,42,8,,8,0.11078153550624847,944.1939929930628,1.8436618520668562,0.05076895379840815,0.1098830826661976,0.5873412658734126,3000
pca_gmm,42,8,,8,0.03433972969651222,511.2552323265133,3.1550965659139845,0.039478756775618185,0.09410381515538482,0.5632436756324367,3000
pca_kmeans,42,8,,9,0.1081877127289772,894.4819229840622,1.8420636099975551,0.04142361917553936,0.1088517451252462,0.5846415358464153,3000
pca_gmm,42,8,,9,0.06657712161540985,624.2620136581726,2.4483653474200677,0.06025104955628697,0.1407147113329733,0.5867413258674132,3000
pca_kmeans,42,8,,10,0.110264353454113,849.2260554912172,1.7730826227569998,0.03497475684924216,0.1074912028599577,0.5841415858414158,3000
pca_gmm,42,8,,10,0.06276711076498032,587.8726748171913,2.3812610476106846,0.059544676622367676,0.13510846212658875,0.5946405359464053,3000
pca_kmeans,42,8,,11,0.10518985986709595,806.6197943244225,1.8283045379256593,0.03499012446527448,0.10522068064847091,0.58994100589941,3000
